zipcode,state,city,zone
77002,TX,Houston,2
77003,TX,Houston,2
77004,TX,Houston,2
77005,TX,Houston,2
77006,TX,Houston,2
77007,TX,Houston,2
77008,TX,Houston,2
77009,TX,Houston,2
77010,TX,Houston,2
77011,TX,Houston,2
77012,TX,Houston,2
77013,TX,Houston,2
77014,TX,Houston,2
77015,TX,Houston,2
77016,TX,Houston,2
77017,TX,Houston,2
77018,TX,Houston,2
77019,TX,Houston,2
77020,TX,Houston,2
77021,TX,Houston,2
77022,TX,Houston,2
77023,TX,Houston,2
77024,TX,Houston,2
77025,TX,Houston,2
77026,TX,Houston,2
77027,TX,Houston,2
77028,TX,Houston,2
77029,TX,Houston,2
77030,TX,Houston,2
77031,TX,Houston,2
77032,TX,Houston,2
77033,TX,Houston,2
77034,TX,Houston,2
77035,TX,Houston,2
77036,TX,Houston,2
77037,TX,Houston,2
77038,TX,Houston,2
77039,TX,Houston,2
77040,TX,Houston,2
77041,TX,Houston,2
77042,TX,Houston,2
77043,TX,Houston,2
77044,TX,Houston,2
77045,TX,Houston,2
77046,TX,Houston,2
77047,TX,Houston,2
77048,TX,Houston,2
77049,TX,Houston,2
77050,TX,Houston,2
77051,TX,Houston,2
77053,TX,Houston,2
77054,TX,Houston,2
77055,TX,Houston,2
77056,TX,Houston,2
77057,TX,Houston,2
77058,TX,Houston,2
77059,TX,Houston,2
77060,TX,Houston,2
77061,TX,Houston,2
77062,TX,Houston,2
77063,TX,Houston,2
77064,TX,Houston,2
77065,TX,Houston,2
77066,TX,Houston,2
77067,TX,Houston,2
77068,TX,Houston,2
77069,TX,Houston,2
77070,TX,Houston,2
77071,TX,Houston,2
77072,TX,Houston,2
77073,TX,Houston,2
77074,TX,Houston,2
77075,TX,Houston,2
77076,TX,Houston,2
77077,TX,Houston,2
77078,TX,Houston,2
77079,TX,Houston,2
77080,TX,Houston,2
77081,TX,Houston,2
77082,TX,Houston,2
77083,TX,Houston,2
77084,TX,Houston,2
77085,TX,Houston,2
77086,TX,Houston,2
77087,TX,Houston,2
77088,TX,Houston,2
77089,TX,Houston,2
77090,TX,Houston,2
77091,TX,Houston,2
77092,TX,Houston,2
77093,TX,Houston,2
77094,TX,Houston,2
77095,TX,Houston,2
77096,TX,Houston,2
77098,TX,Houston,2
77099,TX,Houston,2
77201,TX,Houston,2
77301,TX,Conroe,2
77302,TX,Conroe,2
77304,TX,Conroe,2
77306,TX,Conroe,2
77315,TX,North Houston,2
77316,TX,Montgomery,2
77336,TX,Huffman,2
77338,TX,Humble,2
77339,TX,Kingwood,2
77345,TX,Kingwood,2
77346,TX,Humble,2
77354,TX,Magnolia,2
77357,TX,New Caney,2
77365,TX,Porter,2
77372,TX,Splendora,2
77373,TX,Spring,2
77375,TX,Tomball,2
77377,TX,Tomball,2
77379,TX,Spring,2
77380,TX,Spring,2
77381,TX,Spring,2
77382,TX,Spring,2
77385,TX,Conroe,2
77386,TX,Spring,2
77388,TX,Spring,2
77389,TX,Spring,2
77396,TX,Humble,2
77401,TX,Bellaire,2
77406,TX,Richmond,2
77407,TX,Richmond,2
77423,TX,Brookshire,2
77429,TX,Cypress,2
77433,TX,Cypress,2
77441,TX,Fulshear,2
77447,TX,Hockley,2
77449,TX,Katy,2
77450,TX,Katy,2
77459,TX,Missouri City,2
77469,TX,Richmond,2
77471,TX,Rosenberg,2
77477,TX,Stafford,2
77478,TX,Sugar Land,2
77479,TX,Sugar Land,2
77489,TX,Missouri City,2
77493,TX,Katy,2
77494,TX,Katy,2
77498,TX,Sugar Land,2
77502,TX,Pasadena,2
77503,TX,Pasadena,2
77504,TX,Pasadena,2
77505,TX,Pasadena,2
77506,TX,Pasadena,2
77507,TX,Pasadena,2
77510,TX,Santa Fe,2
77511,TX,Alvin,2
77517,TX,Santa Fe,2
77518,TX,Bacliff,2
77520,TX,Baytown,2
77521,TX,Baytown,2
77523,TX,Baytown,2
77530,TX,Channelview,2
77532,TX,Crosby,2
77536,TX,Deer Park,2
77539,TX,Dickinson,2
77545,TX,Fresno,2
77546,TX,Friendswood,2
77547,TX,Galena Park,2
77562,TX,Highlands,2
77563,TX,Hitchcock,2
77565,TX,Kemah,2
77568,TX,La Marque,2
77571,TX,La Porte,2
77573,TX,League City,2
77578,TX,Manvel,2
77581,TX,Pearland,2
77583,TX,Rosharon,2
77584,TX,Pearland,2
77586,TX,Seabrook,2
77587,TX,South Houston,2
77590,TX,Texas City,2
77591,TX,Texas City,2
77598,TX,Webster,2